Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[strain]	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[organism part]	Material Type	Comment[BioSD_SAMPLE]	Comment[ENA_ALIAS]	Comment[ENA_SAMPLE]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[Center]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[developmental stage]
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513114	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513114	group 2	sequencing assay	ERX1513114	ERR1442737_1	SC	ERR1442737	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442737/ERR1442737_1.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513114	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513114	group 2	sequencing assay	ERX1513114	ERR1442737_2	SC	ERR1442737	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442737/ERR1442737_2.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513204	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513204	group 2	sequencing assay	ERX1513204	ERR1442827_1	SC	ERR1442827	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442827/ERR1442827_1.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513204	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513204	group 2	sequencing assay	ERX1513204	ERR1442827_2	SC	ERR1442827	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442827/ERR1442827_2.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513294	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513294	group 2	sequencing assay	ERX1513294	ERR1442917_1	SC	ERR1442917	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442917/ERR1442917_1.fastq.gz	zygote
ERS1079240	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892106	750f4840-e60c-11e5-bc69-3c4a9275d6c6	ERS1079240	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564986_ERX1513294	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513294	group 2	sequencing assay	ERX1513294	ERR1442917_2	SC	ERR1442917	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/007/ERR1442917/ERR1442917_2.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513025	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513025	group 3	sequencing assay	ERX1513025	ERR1442648_1	SC	ERR1442648	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442648/ERR1442648_1.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513025	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513025	group 3	sequencing assay	ERX1513025	ERR1442648_2	SC	ERR1442648	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442648/ERR1442648_2.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513115	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513115	group 3	sequencing assay	ERX1513115	ERR1442738_1	SC	ERR1442738	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442738/ERR1442738_1.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513115	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513115	group 3	sequencing assay	ERX1513115	ERR1442738_2	SC	ERR1442738	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442738/ERR1442738_2.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513205	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513205	group 3	sequencing assay	ERX1513205	ERR1442828_1	SC	ERR1442828	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442828/ERR1442828_1.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513205	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513205	group 3	sequencing assay	ERX1513205	ERR1442828_2	SC	ERR1442828	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442828/ERR1442828_2.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513295	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513295	group 3	sequencing assay	ERX1513295	ERR1442918_1	SC	ERR1442918	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442918/ERR1442918_1.fastq.gz	zygote
ERS1079241	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892107	751b0810-e60c-11e5-bc69-3c4a9275d6c6	ERS1079241	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564998_ERX1513295	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513295	group 3	sequencing assay	ERX1513295	ERR1442918_2	SC	ERR1442918	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/008/ERR1442918/ERR1442918_2.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513026	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513026	group 4	sequencing assay	ERX1513026	ERR1442649_1	SC	ERR1442649	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442649/ERR1442649_1.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513026	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513026	group 4	sequencing assay	ERX1513026	ERR1442649_2	SC	ERR1442649	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442649/ERR1442649_2.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513116	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513116	group 4	sequencing assay	ERX1513116	ERR1442739_1	SC	ERR1442739	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442739/ERR1442739_1.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513116	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513116	group 4	sequencing assay	ERX1513116	ERR1442739_2	SC	ERR1442739	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442739/ERR1442739_2.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513206	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513206	group 4	sequencing assay	ERX1513206	ERR1442829_1	SC	ERR1442829	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442829/ERR1442829_1.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513206	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513206	group 4	sequencing assay	ERX1513206	ERR1442829_2	SC	ERR1442829	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442829/ERR1442829_2.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513296	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513296	group 4	sequencing assay	ERX1513296	ERR1442919_1	SC	ERR1442919	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442919/ERR1442919_1.fastq.gz	zygote
ERS1079243	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892109	7526eef0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079243	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564915_ERX1513296	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513296	group 4	sequencing assay	ERX1513296	ERR1442919_2	SC	ERR1442919	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/009/ERR1442919/ERR1442919_2.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513027	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513027	group 5	sequencing assay	ERX1513027	ERR1442650_1	SC	ERR1442650	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442650/ERR1442650_1.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513027	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513027	group 5	sequencing assay	ERX1513027	ERR1442650_2	SC	ERR1442650	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442650/ERR1442650_2.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513117	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513117	group 5	sequencing assay	ERX1513117	ERR1442740_1	SC	ERR1442740	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442740/ERR1442740_1.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513117	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513117	group 5	sequencing assay	ERX1513117	ERR1442740_2	SC	ERR1442740	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442740/ERR1442740_2.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513207	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513207	group 5	sequencing assay	ERX1513207	ERR1442830_1	SC	ERR1442830	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442830/ERR1442830_1.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513207	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513207	group 5	sequencing assay	ERX1513207	ERR1442830_2	SC	ERR1442830	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442830/ERR1442830_2.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513297	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513297	group 5	sequencing assay	ERX1513297	ERR1442920_1	SC	ERR1442920	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442920/ERR1442920_1.fastq.gz	zygote
ERS1079244	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	zygote	ZFS	ZFS:0000001	whole organism	whole organism	SAMEA3892110	7532fce0-e60c-11e5-bc69-3c4a9275d6c6	ERS1079244	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564927_ERX1513297	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513297	group 5	sequencing assay	ERX1513297	ERR1442920_2	SC	ERR1442920	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/000/ERR1442920/ERR1442920_2.fastq.gz	zygote
ERS1079215	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	cleavage 2-cell	ZFS	ZFS:0000002	whole organism	whole organism	SAMEA3892081	74118750-e60c-11e5-bc69-3c4a9275d6c6	ERS1079215	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564924_ERX1513003	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513003	group 6	sequencing assay	ERX1513003	ERR1442626_1	SC	ERR1442626	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442626/ERR1442626_1.fastq.gz	cleavage 2-cell
ERS1079215	Danio rerio	NCBI Taxonomy	7955	Hubrecht Longfin	cleavage 2-cell	ZFS	ZFS:0000002	whole organism	whole organism	SAMEA3892081	74118750-e60c-11e5-bc69-3c4a9275d6c6	ERS1079215	P-MTAB-50956	P-MTAB-50957	P-MTAB-50955	16564924_ERX1513003	PAIRED	cDNA	TRANSCRIPTOMIC	first strand	RNA-Seq	200	0	P-MTAB-50954	SC	ERX1513003	group 6	sequencing assay	ERX1513003	ERR1442626_2	SC	ERR1442626	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/006/ERR1442626/ERR1442626_2.fastq.gz	cleavage 2-cell
