# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-ERAD-475
# Selected columns: 18 (all)
# Timestamp: Wed, 05-Aug-2020 16:22:51
Gene ID	Gene Name	zygote	cleavage 2-cell	blastula 128-cell	blastula 1k-cell	blastula dome	gastrula 50%-epiboly	gastrula shield	gastrula 75%-epiboly	segmentation 1-4 somites	segmentation 14-19 somites	segmentation 20-25 somites	pharyngula prim-5	pharyngula prim-15	pharyngula prim-25	hatching long-pec	larval protruding mouth	larval day 4	larval day 5
ENSDARG00000000442	slc39a13	16.0	23.0	94.0	120.0	67.0	37.0	24.0	23.0	27.0	22.0	26.0	22.0	20.0	16.0	17.0	18.0	14.0	10.0
ENSDARG00000000472	cntn2	3.0	5.0	6.0	6.0	6.0	3.0	3.0	2.0	1.0	3.0	5.0	6.0	8.0	13.0	19.0	10.0	11.0	12.0
ENSDARG00000000476	pms1	7.0	12.0	37.0	30.0	26.0	16.0	8.0	6.0	8.0	7.0	7.0	6.0	6.0	4.0	3.0	3.0	4.0	5.0
ENSDARG00000000489	upf3b	41.0	37.0	54.0	57.0	63.0	49.0	42.0	38.0	51.0	56.0	44.0	45.0	34.0	36.0	26.0	21.0	23.0	28.0
ENSDARG00000000503	stx1b										3.0	12.0	20.0	32.0	47.0	77.0	163.0	151.0	138.0
ENSDARG00000000516	ankar									0.2	0.1	0.2	0.1	0.1	0.3			0.2	
ENSDARG00000000529	ofd1	65.0	73.0	54.0	65.0	59.0	19.0	7.0	9.0	18.0	15.0	15.0	13.0	10.0	9.0	7.0	5.0	6.0	6.0
ENSDARG00000000540	asdurf	46.0	37.0	49.0	54.0	77.0	41.0	38.0	30.0	34.0	32.0	28.0	18.0	15.0	14.0	11.0	13.0	9.0	8.0
ENSDARG00000000542	gtf2e1	24.0	28.0	81.0	68.0	59.0	35.0	33.0	35.0	30.0	27.0	22.0	18.0	16.0	15.0	12.0	8.0	6.0	7.0
ENSDARG00000000551	slc1a4	1.0	1.0	2.0	2.0	0.7	0.9	0.6	1.0	6.0	8.0	19.0	34.0	33.0	17.0	30.0	26.0	14.0	12.0
ENSDARG00000000563	ttn.1		0.1	0.1	0.1	0.1	0.1	0.1	0.2	1.0	2.0	5.0	12.0	17.0	21.0	16.0	18.0	24.0	27.0
ENSDARG00000000567	znf281a	1.0	4.0	3.0	3.0	18.0	44.0	44.0	39.0	31.0	30.0	31.0	27.0	29.0	44.0	31.0	12.0	11.0	9.0
ENSDARG00000000568	ell	147.0	152.0	235.0	258.0	87.0	15.0	14.0	18.0	19.0	15.0	14.0	19.0	19.0	19.0	16.0	19.0	18.0	20.0
ENSDARG00000000588	grasp	7.0	10.0	43.0	54.0	19.0	9.0	5.0	8.0	14.0	18.0	16.0	10.0	4.0	3.0	7.0	7.0	6.0	8.0
ENSDARG00000000606	dnah6									0.2	0.3	0.7	0.8	0.9	0.7	0.7	0.6	0.7	0.6
ENSDARG00000000631	ptpn4a	5.0	12.0	60.0	71.0	17.0	6.0	6.0	12.0	13.0	14.0	21.0	18.0	13.0	14.0	13.0	14.0	15.0	14.0
ENSDARG00000000651	osgepl1					1.0	3.0	6.0	3.0	8.0	8.0	5.0	8.0	5.0	4.0	4.0	3.0	5.0	4.0
ENSDARG00000000656	psmb9a		0.6							0.7	1.0	1.0	0.9		0.6				
ENSDARG00000000666	creg2		0.4	1.0	3.0	1.0	0.9	2.0	2.0	15.0	14.0	18.0	13.0	10.0	11.0	11.0	21.0	30.0	31.0
ENSDARG00000000690	sypl2b	9.0	6.0	4.0	3.0	4.0	9.0	7.0	11.0	23.0	13.0	18.0	25.0	24.0	20.0	18.0	16.0	12.0	8.0
ENSDARG00000000729	daxx	171.0	214.0	200.0	198.0	206.0	86.0	95.0	80.0	46.0	43.0	33.0	38.0	30.0	31.0	20.0	12.0	12.0	11.0
ENSDARG00000000730	slc6a22.1	64.0	46.0	45.0	64.0	26.0	5.0	4.0	5.0	5.0	6.0	5.0	5.0	5.0	6.0	5.0	11.0	16.0	10.0
ENSDARG00000000747	lcmt2	12.0	21.0	32.0	28.0	11.0	6.0	5.0	8.0	11.0	10.0	7.0	4.0	3.0	3.0	2.0	2.0	2.0	3.0
ENSDARG00000000760	znf511	21.0	13.0	33.0	46.0	21.0	6.0	8.0	12.0	14.0	13.0	11.0	10.0	7.0	7.0	7.0	8.0	10.0	10.0
ENSDARG00000000767	spi1b									2.0	5.0	4.0	3.0	3.0	2.0	2.0	2.0	4.0	4.0
ENSDARG00000000779	scfd1	21.0	19.0	87.0	78.0	55.0	40.0	30.0	29.0	52.0	44.0	55.0	53.0	46.0	45.0	41.0	43.0	42.0	33.0
ENSDARG00000000796	nr4a1	15.0	21.0	23.0	7.0	15.0	2.0	0.4	0.3	2.0	1.0	3.0	5.0	11.0	20.0	26.0	47.0	34.0	33.0
ENSDARG00000000804	rassf6	1.0	0.5		0.6				1.0	8.0	12.0	15.0	21.0	18.0	13.0	16.0	18.0	16.0	15.0
ENSDARG00000000830	telo2	3.0	17.0	27.0	22.0	14.0	10.0	15.0	17.0	19.0	19.0	17.0	14.0	10.0	13.0	9.0	7.0	7.0	7.0
ENSDARG00000000837	snx9a	9.0	12.0	28.0	37.0	22.0	12.0	5.0	0.5	1.0	2.0	4.0	4.0	6.0	4.0	5.0	10.0	13.0	13.0
ENSDARG00000000853	dstyk	336.0	334.0	242.0	188.0	221.0	127.0	83.0	55.0	46.0	44.0	44.0	37.0	46.0	46.0	38.0	33.0	33.0	38.0
ENSDARG00000000857	mapk14a	58.0	85.0	167.0	170.0	140.0	90.0	86.0	101.0	89.0	71.0	64.0	47.0	40.0	38.0	31.0	30.0	25.0	22.0
ENSDARG00000000861	scrib	81.0	91.0	88.0	89.0	74.0	75.0	58.0	66.0	57.0	48.0	63.0	60.0	47.0	49.0	33.0	29.0	29.0	27.0
ENSDARG00000000887	zgc:56699	1414.0	1466.0	923.0	999.0	1087.0	978.0	765.0	359.0	83.0	55.0	50.0	62.0	36.0	15.0	14.0	7.0	6.0	4.0
ENSDARG00000000906	skap2	5.0	2.0	15.0	18.0	7.0	4.0	4.0	2.0	6.0	6.0	2.0	3.0	5.0	4.0	4.0	5.0	9.0	9.0
ENSDARG00000000935	unk	4.0	6.0	14.0	16.0	10.0	3.0	1.0	2.0	4.0	4.0	5.0	4.0	4.0	5.0	4.0	3.0	3.0	3.0
ENSDARG00000000943	dzip1		0.2	0.2		2.0	19.0	28.0	23.0	24.0	18.0	17.0	14.0	13.0	14.0	10.0	9.0	7.0	8.0
ENSDARG00000000966	ncor2	16.0	18.0	55.0	53.0	23.0	3.0	2.0	6.0	17.0	19.0	21.0	21.0	20.0	29.0	25.0	30.0	30.0	31.0
ENSDARG00000001014	myh9b	16.0	23.0	35.0	26.0	23.0	25.0	21.0	19.0	18.0	21.0	44.0	87.0	84.0	59.0	56.0	52.0	55.0	40.0
ENSDARG00000001015	znf384l	0.3	2.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0	7.0	7.0	6.0	8.0	10.0	12.0	11.0	12.0	13.0
ENSDARG00000001057	bysl	2.0	6.0	46.0	44.0	68.0	127.0	169.0	228.0	266.0	262.0	252.0	174.0	109.0	108.0	73.0	66.0	73.0	101.0
ENSDARG00000001127	slc17a6a			1.0	0.5	0.3	0.3					0.3	1.0	3.0	5.0	7.0	17.0	18.0	18.0
ENSDARG00000001129	dicer1	9.0	10.0	41.0	50.0	22.0	7.0	5.0	12.0	27.0	23.0	25.0	20.0	17.0	21.0	16.0	16.0	18.0	17.0
ENSDARG00000001154	rimbp2					0.2				0.3		0.4	0.3	0.1	0.9	1.0	4.0	5.0	9.0
ENSDARG00000001162	matr3l1.1	8.0	16.0	90.0	91.0	88.0	93.0	104.0	88.0	44.0	33.0	36.0	31.0	27.0	33.0	28.0	21.0	21.0	21.0
ENSDARG00000001169	hsd17b8	5.0	7.0	12.0	14.0	10.0	4.0	2.0	0.5	0.4	0.8	0.5	0.6	2.0	2.0	3.0	6.0	5.0	5.0
ENSDARG00000001210	arl14ep	584.0	485.0	161.0	151.0	62.0	99.0	143.0	146.0	132.0	146.0	121.0	102.0	87.0	96.0	64.0	45.0	38.0	30.0
ENSDARG00000001220	mycbp2	6.0	6.0	13.0	15.0	13.0	10.0	7.0	4.0	14.0	12.0	13.0	16.0	15.0	17.0	17.0	22.0	24.0	22.0
ENSDARG00000001234	map4k2			8.0		1.0				0.6	2.0	4.0	3.0	3.0	3.0	5.0	7.0	10.0	9.0
ENSDARG00000001241	puf60b	101.0	152.0	240.0	245.0	247.0	267.0	297.0	276.0	230.0	192.0	188.0	153.0	120.0	135.0	92.0	69.0	63.0	51.0
ENSDARG00000001244	srrm1	141.0	173.0	220.0	182.0	236.0	303.0	366.0	382.0	258.0	184.0	164.0	122.0	93.0	107.0	77.0	75.0	73.0	84.0
ENSDARG00000001249	pcgf1	69.0	78.0	77.0	80.0	26.0	9.0	10.0	12.0	19.0	16.0	13.0	12.0	9.0	14.0	10.0	6.0	6.0	5.0
ENSDARG00000001259	gas2a		2.0	3.0	4.0	3.0	1.0		0.8	4.0	1.0	6.0	1.0	1.0	2.0	4.0	5.0	4.0	3.0
ENSDARG00000001303	psmb8a					0.9	0.6	0.6											
ENSDARG00000001313	g2e3	29.0	35.0	130.0	123.0	39.0	64.0	91.0	72.0	50.0	47.0	47.0	38.0	35.0	37.0	27.0	10.0	8.0	6.0
ENSDARG00000001354	slc6a22.2								0.4	1.0	2.0	2.0	3.0	3.0	1.0	4.0	7.0	9.0	9.0
ENSDARG00000001414	mctp2a			0.4		0.7	12.0	23.0	34.0	15.0	5.0	5.0	5.0	4.0	2.0	4.0	4.0	5.0	4.0
ENSDARG00000001431	actn3b	0.5	0.8	2.0	3.0	2.0	3.0	3.0	3.0	4.0	16.0	49.0	140.0	267.0	319.0	331.0	325.0	331.0	321.0
ENSDARG00000001437	slc2a1a										2.0	19.0	38.0	14.0	5.0	7.0	11.0	25.0	31.0
ENSDARG00000001442	inppl1b	17.0	13.0	15.0	13.0	13.0	3.0	1.0	0.6	0.5	0.2	0.6	1.0	2.0	2.0	2.0	3.0	5.0	4.0
ENSDARG00000001447	mier1b	14.0	23.0	43.0	37.0	12.0	7.0	7.0	7.0	17.0	17.0	16.0	12.0	14.0	14.0	10.0	8.0	7.0	7.0
ENSDARG00000001452	adam8a	37.0	43.0	44.0	23.0	10.0	3.0	4.0	7.0	21.0	14.0	11.0	7.0	5.0	7.0	5.0	3.0	4.0	2.0
ENSDARG00000001463	tdh2									0.5	0.4	0.2	1.0	5.0	14.0	26.0	40.0	36.0	42.0
ENSDARG00000001470	mhc1zea	9.0	15.0	20.0	18.0	17.0	7.0	3.0	3.0	22.0	20.0	20.0	18.0	13.0	18.0	13.0	9.0	13.0	9.0
ENSDARG00000001498	skap1		0.3		0.3	0.3			1.0	3.0	1.0	2.0	2.0	1.0	2.0	0.5	0.4	0.6	0.9
ENSDARG00000001549	sp3a	9.0	23.0	58.0	55.0	54.0	32.0	22.0	17.0	11.0	7.0	9.0	8.0	7.0	8.0	5.0	5.0	4.0	3.0
ENSDARG00000001557	tomm34	22.0	32.0	44.0	36.0	39.0	21.0	21.0	34.0	37.0	26.0	28.0	31.0	21.0	24.0	17.0	14.0	11.0	8.0
ENSDARG00000001558	kifc1	211.0	260.0	359.0	287.0	234.0	230.0	307.0	255.0	179.0	147.0	136.0	135.0	111.0	120.0	74.0	35.0	33.0	20.0
ENSDARG00000001559	csmd2			0.1	0.1	0.1							0.3	0.3	0.2	0.9	2.0	4.0	4.0
ENSDARG00000001578	echs1	4.0	11.0	68.0	73.0	90.0	108.0	86.0	78.0	45.0	25.0	36.0	62.0	83.0	84.0	84.0	106.0	115.0	91.0
ENSDARG00000001621	nfyal	14.0	26.0	31.0	38.0	41.0	14.0	5.0	2.0	4.0	4.0	5.0	5.0	7.0	6.0	7.0	6.0	6.0	5.0
ENSDARG00000001634	kirrel1a	0.2	0.1	0.6	1.0	0.4	0.4	0.1	0.8	17.0	19.0	19.0	15.0	14.0	17.0	16.0	17.0	17.0	14.0
ENSDARG00000001656	psmb13a					0.6													
ENSDARG00000001676	gpm6bb	5.0	9.0	13.0	16.0	16.0	11.0	10.0	4.0	4.0	8.0	19.0	27.0	46.0	57.0	36.0	41.0	46.0	40.0
ENSDARG00000001686	uckl1a					0.4				0.5	0.8	1.0	2.0	0.9	1.0	0.8	4.0	6.0	6.0
ENSDARG00000001710	flot1a	30.0	36.0	22.0	23.0	18.0	10.0	9.0	8.0	15.0	16.0	22.0	26.0	35.0	44.0	58.0	57.0	55.0	55.0
ENSDARG00000001712	si:ch211-247n2.1											1.0	3.0	3.0	1.0	2.0	1.0	2.0	3.0
ENSDARG00000001721	oc90		0.6	0.6	0.6	0.8	0.4	0.3	0.7	23.0	54.0	76.0	61.0	25.0	11.0	4.0	0.5	0.3	0.3
ENSDARG00000001729	strn3	55.0	55.0	69.0	73.0	55.0	69.0	75.0	82.0	79.0	64.0	77.0	65.0	50.0	54.0	49.0	48.0	44.0	36.0
ENSDARG00000001733	gulp1a	28.0	47.0	65.0	74.0	33.0	7.0	2.0	2.0	12.0	12.0	14.0	17.0	16.0	15.0	18.0	28.0	22.0	19.0
ENSDARG00000001734	fkbp8	37.0	36.0	85.0	82.0	39.0	16.0	18.0	17.0	10.0	11.0	12.0	13.0	15.0	14.0	14.0	23.0	26.0	24.0
ENSDARG00000001754	noc2l	10.0	23.0	95.0	89.0	88.0	95.0	88.0	88.0	140.0	115.0	97.0	64.0	34.0	34.0	22.0	23.0	23.0	29.0
ENSDARG00000001760	tnxba															0.8	18.0	15.0	11.0
ENSDARG00000001767	slc29a2	102.0	110.0	18.0	19.0	3.0	4.0	6.0	6.0	8.0	8.0	9.0	15.0	11.0	9.0	9.0	7.0	7.0	5.0
ENSDARG00000001769	ptpra	38.0	60.0	69.0	58.0	53.0	39.0	23.0	22.0	18.0	10.0	16.0	16.0	19.0	17.0	16.0	16.0	18.0	18.0
ENSDARG00000001771	otol1a																0.5	0.8	2.0
ENSDARG00000001776	stim2b	0.8	2.0	3.0	3.0	2.0	0.6	0.2	1.0	4.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0
ENSDARG00000001777	nup155	77.0	75.0	89.0	78.0	84.0	78.0	72.0	51.0	61.0	54.0	56.0	60.0	49.0	44.0	25.0	18.0	19.0	19.0
ENSDARG00000001781	tspan11		2.0	2.0	0.9	2.0	2.0			7.0	6.0	8.0	7.0	7.0	6.0	4.0	7.0	10.0	9.0
ENSDARG00000001782	prkacba							1.0	10.0	5.0	3.0	6.0	12.0	10.0	3.0	5.0	5.0	4.0	2.0
ENSDARG00000001785	irx2a			0.7	0.5			0.2		0.5	1.0	4.0	6.0	9.0	15.0	21.0	14.0	15.0	14.0
ENSDARG00000001788	atp5po	379.0	228.0	48.0	50.0	33.0	33.0	28.0	58.0	146.0	197.0	216.0	268.0	297.0	322.0	353.0	450.0	408.0	313.0
ENSDARG00000001803	kcnh6a	0.9	0.2			0.1				2.0	3.0	3.0	2.0	2.0	1.0	0.9	2.0	2.0	3.0
ENSDARG00000001804	zgc:112148	29.0	27.0	23.0	14.0	9.0	7.0	4.0	2.0	6.0	5.0	5.0	4.0	6.0	2.0	4.0	6.0	12.0	10.0
ENSDARG00000001807	tnfrsf21					3.0	2.0	0.8	0.4	4.0	3.0	4.0	3.0	4.0	6.0	7.0	14.0	14.0	13.0
ENSDARG00000001817	zmp:0000000521	6.0	18.0	32.0	30.0	22.0	8.0	3.0	2.0	4.0	4.0	3.0	3.0	1.0		1.0	4.0	2.0	3.0
ENSDARG00000001818	c3b.2			0.2	0.1		0.2			0.8	1.0	1.0	2.0	1.0	0.9	1.0	4.0	7.0	9.0
ENSDARG00000001825	cfap43			0.1	0.2					0.8	1.0	1.0	1.0	0.8	0.9	0.5	0.4	0.3	0.2
ENSDARG00000001829	zgc:112982	13.0	11.0	82.0	79.0	72.0	75.0	83.0	76.0	75.0	56.0	54.0	41.0	39.0	47.0	39.0	38.0	45.0	49.0
ENSDARG00000001835	nalcn	0.2	0.5	0.3	0.3	0.2	0.1	0.3	0.2	0.3	0.5	0.6	1.0	2.0	2.0	4.0	6.0	7.0	7.0
ENSDARG00000001857	aff4	20.0	30.0	79.0	75.0	35.0	21.0	15.0	19.0	11.0	6.0	10.0	11.0	13.0	11.0	11.0	12.0	15.0	15.0
ENSDARG00000001859	dbx1b					1.0	0.8	1.0	1.0	15.0	28.0	45.0	46.0	41.0	36.0	20.0	5.0	5.0	4.0
ENSDARG00000001870	atp1a1a.4		0.5	1.0	2.0	1.0	0.5	0.3	0.4	0.1	3.0	22.0	49.0	45.0	17.0	31.0	84.0	187.0	265.0
ENSDARG00000001873	phgdh	1.0	5.0	104.0	114.0	99.0	90.0	72.0	46.0	86.0	93.0	125.0	115.0	108.0	100.0	65.0	42.0	28.0	21.0
ENSDARG00000001879	nav2b	0.3	0.3	2.0	2.0	20.0	23.0	12.0	11.0	20.0	16.0	17.0	14.0	11.0	9.0	7.0	7.0	9.0	9.0
ENSDARG00000001880	stx3a	14.0	34.0	27.0	32.0	10.0	3.0	3.0	4.0	10.0	6.0	9.0	9.0	9.0	9.0	7.0	17.0	19.0	17.0
ENSDARG00000001881	cacnb3a																1.0	2.0	2.0
ENSDARG00000001882	kbtbd12												1.0	4.0	8.0	11.0	18.0	23.0	25.0
ENSDARG00000001888	ppm1ba	3.0	9.0	34.0	40.0	33.0	38.0	36.0	37.0	24.0	15.0	15.0	12.0	12.0	17.0	10.0	13.0	12.0	12.0
ENSDARG00000001889	tuba1a					2.0	11.0	52.0	133.0	255.0	327.0	376.0	407.0	445.0	489.0	551.0	343.0	222.0	165.0
ENSDARG00000001890	stt3b	65.0	105.0	203.0	188.0	172.0	93.0	53.0	39.0	93.0	83.0	102.0	99.0	76.0	70.0	60.0	64.0	54.0	41.0
ENSDARG00000001891	syt14b	0.3		0.7	1.0	0.3							0.1	0.5	0.8	2.0	2.0	5.0	4.0
ENSDARG00000001897	man2b1	20.0	27.0	60.0	52.0	42.0	26.0	15.0	13.0	16.0	15.0	19.0	35.0	25.0	14.0	17.0	13.0	22.0	24.0
ENSDARG00000001898	manea	22.0	23.0	18.0	10.0	5.0	1.0	0.9	3.0	5.0	4.0	4.0	5.0	4.0	5.0	5.0	9.0	8.0	5.0
ENSDARG00000001906	si:dkey-247m21.3													0.5		0.3	0.8	0.9	0.7
ENSDARG00000001909	vill												2.0	4.0	2.0	4.0	5.0	7.0	7.0
ENSDARG00000001910	rorab		0.4	1.0	1.0	0.4	0.2	0.4	0.8	3.0	6.0	8.0	8.0	7.0	6.0	16.0	39.0	39.0	48.0
ENSDARG00000001912	drd4-rs	0.5	0.7	1.0	2.0	1.0	0.3						0.7	0.9	0.6	1.0	3.0	2.0	3.0
ENSDARG00000001913	palmda									1.0	4.0	6.0	6.0	5.0	5.0	5.0	7.0	6.0	5.0
ENSDARG00000001929	pink1	5.0	7.0	30.0	26.0	7.0	3.0	3.0	3.0	5.0	2.0	4.0	3.0	2.0	2.0	2.0	4.0	8.0	7.0
ENSDARG00000001930	klhl15	16.0	16.0	48.0	46.0	14.0	6.0	6.0	9.0	9.0	7.0	7.0	6.0	6.0	10.0	10.0	11.0	11.0	11.0
ENSDARG00000001933	prkag2b												2.0	4.0	3.0	3.0	4.0	4.0	6.0
ENSDARG00000001937	LO018422.1										0.2	2.0	5.0	5.0	5.0	4.0	3.0	4.0	3.0
ENSDARG00000001939	b3gat3	2.0	6.0	26.0	27.0	26.0	22.0	21.0	21.0	23.0	18.0	16.0	12.0	11.0	13.0	10.0	9.0	8.0	6.0
ENSDARG00000001940	dnajc1	163.0	352.0	485.0	515.0	511.0	215.0	119.0	97.0	93.0	75.0	70.0	51.0	38.0	35.0	36.0	32.0	37.0	31.0
ENSDARG00000001950	ak1						1.0	1.0	1.0	6.0	20.0	71.0	304.0	725.0	982.0	1392.0	1551.0	1337.0	1357.0
ENSDARG00000001953	pfkfb3			0.8	1.0	3.0	5.0	2.0	2.0	4.0	5.0	5.0	3.0	2.0	4.0	7.0	13.0	14.0	21.0
ENSDARG00000001968	dock5	1.0	1.0	9.0	9.0	6.0	5.0	3.0	1.0	0.7	0.9	1.0	1.0	1.0	1.0	1.0	2.0	4.0	3.0
ENSDARG00000001969	txlng	64.0	73.0	72.0	75.0	31.0	21.0	20.0	22.0	29.0	24.0	24.0	18.0	14.0	14.0	10.0	9.0	9.0	9.0
ENSDARG00000001971	cthrc1b																10.0	20.0	13.0
ENSDARG00000001975	hsd11b2	0.4							0.8	2.0	0.5	1.0	1.0	5.0	11.0	17.0	36.0	38.0	29.0
ENSDARG00000001976	fkbp16			1.0	3.0	2.0	1.0	3.0	2.0	11.0	20.0	19.0	24.0	15.0	10.0	9.0	22.0	19.0	19.0
ENSDARG00000001993	myhb					1.0	2.0	1.0	0.9	2.0	0.6	0.4	0.2	0.2	0.7	2.0	87.0	82.0	55.0
ENSDARG00000001994	stxbp1a				0.1					1.0	11.0	23.0	37.0	57.0	89.0	123.0	227.0	210.0	204.0
ENSDARG00000001999	adamts18					1.0	16.0	27.0	30.0	16.0	9.0	7.0	5.0	4.0	4.0	6.0	6.0	5.0	5.0
ENSDARG00000002002	lmcd1	0.5	1.0	9.0	19.0	13.0	4.0	1.0	0.6	3.0	4.0	2.0	1.0	2.0	3.0	5.0	8.0	8.0	7.0
ENSDARG00000002006	rxrbb	4.0	8.0	22.0	22.0	6.0	7.0	8.0	10.0	10.0	10.0	10.0	8.0	9.0	11.0	10.0	11.0	14.0	15.0
ENSDARG00000002013	grb10a	5.0	10.0	13.0	18.0	5.0	4.0	4.0	9.0	15.0	9.0	9.0	7.0	7.0	6.0	6.0	6.0	9.0	10.0
ENSDARG00000002016	ppil2	27.0	137.0	233.0	203.0	170.0	77.0	64.0	57.0	65.0	52.0	50.0	45.0	34.0	34.0	27.0	23.0	22.0	19.0
ENSDARG00000002020	rictorb	2.0	4.0	11.0	13.0	5.0	2.0	3.0	6.0	6.0	4.0	5.0	4.0	4.0	5.0	5.0	5.0	6.0	6.0
ENSDARG00000002021	pygb	6.0	9.0	25.0	24.0	20.0	18.0	18.0	9.0	7.0	7.0	14.0	17.0	21.0	21.0	21.0	29.0	50.0	45.0
ENSDARG00000002026	qkib									0.6	0.6	2.0	3.0	3.0	6.0	7.0	6.0	8.0	6.0
ENSDARG00000002031	tox4a	36.0	43.0	130.0	109.0	87.0	82.0	86.0	79.0	64.0	54.0	52.0	40.0	33.0	37.0	30.0	19.0	17.0	14.0
ENSDARG00000002037	pfkfb2b	0.4	3.0	10.0	9.0	3.0	0.8					0.5	2.0	2.0	2.0	2.0	8.0	8.0	8.0
ENSDARG00000002060	brf2	63.0	46.0	48.0	47.0	14.0	7.0	6.0	8.0	6.0	7.0	7.0	3.0	4.0	5.0	3.0	2.0	1.0	0.8
ENSDARG00000002071	adss2	0.7	0.6	0.5	1.0	0.8	1.0	2.0	0.4	0.9	0.9	7.0	17.0	25.0	24.0	26.0	36.0	38.0	25.0
