Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
ENSDARG00000002193	rho											0.4	0.6	1	0.6	6	1488	1952	1902
ENSDARG00000002194	rhd						0.2	0.2	0.5	0.4	0.4	0.6	1	3	3	3	2	1	1
ENSDARG00000002196	bach1b					0.3	1	4	8	8	5	10	8	6	5	6	8	9	10
ENSDARG00000002197	pygl	3	7	54	48	39	16	13	6	3	3	3	3	2	3	15	47	53	40
ENSDARG00000002204	hspb11										2	15	22	20	9	24	36	38	37
ENSDARG00000002210	stk25a		0.8	4	7	4	2	3	3	4	3	4	3	2	3	5	11	10	9
ENSDARG00000002213	invs	4	4	8	4	3	1	2	4	6	5	5	4	3	4	2	3	3	2
ENSDARG00000002215	rtca	44	41	112	93	74	130	213	255	146	115	114	94	89	104	57	20	16	14
ENSDARG00000002216	tbx3a						0.9	6	16	26	19	16	17	15	12	15	17	15	15
ENSDARG00000002217	scocb	0.4	1	3	4	5	13	23	42	48	38	33	32	33	38	50	55	49	46
ENSDARG00000002219	si:dkey-103j14.5												0.5	0.4	0.4	0.7	2	9	9
ENSDARG00000002220	C5H9orf78	14	21	114	139	83	109	139	121	73	61	54	50	39	35	35	29	29	24
ENSDARG00000002230	sypb					0.3	1	3	3	13	6	5	5	14	20	36	204	151	130
ENSDARG00000002231	plpp2a	0.4	2	12	15	11	4	0.9				0.4	2	2	2	2	2	5	3
ENSDARG00000002235	mmp14a	1	1	0.5	0.5	3	3	2	1	10	14	18	21	20	21	24	45	44	35
ENSDARG00000002240	psmb6	0.6	1	4	4	17	82	129	180	226	247	226	188	165	195	135	105	85	67
ENSDARG00000002241	kcna2a						2	3	2								1	2	2
ENSDARG00000002249	tbxas1	1	1	3	3	2	1	0.7		0.7	0.7	2	1	2	2	4	6	11	17
ENSDARG00000002255	epb41l3a	0.7	3	9	5	8	4	3	4	3	3	7	7	10	14	18	30	27	22
ENSDARG00000002259	ca15c															0.5	0.5	3	4
ENSDARG00000002264	mrpl41	1	1	14	15	8	17	22	43	51	44	46	33	39	50	38	42	42	26
ENSDARG00000002267	dcaf13	53	30	162	158	172	163	154	107	99	87	73	43	30	30	21	22	20	20
ENSDARG00000002271	zfand5b	138	118	688	692	484	304	258	153	60	53	63	58	55	68	66	82	66	84
ENSDARG00000002285	mcoln1a	7	20	45	39	28	25	12	11	14	10	12	11	11	11	11	15	11	11
ENSDARG00000002293	si:ch211-197g15.6								0.6										
ENSDARG00000002295	si:dkey-21p1.3											0.2		0.1		0.8	2	3	2
ENSDARG00000002298	ankrd22	9	25	76	78	33	5	1	5	2	2	2	4	3	2	3	9	5	5
ENSDARG00000002299	arsh							0.4	1	1	2	4	4	4	3	4	4	6	4
ENSDARG00000002300	p2rx2									0.7	0.5					0.7	6	4	5
ENSDARG00000002304	gins2	535	341	107	113	60	18	13	16	38	62	54	51	44	32	21	11	12	5
ENSDARG00000002305	me3	378	287	238	204	157	31	10	5	15	21	31	46	47	56	56	65	67	58
ENSDARG00000002311	fabp11b													10	20	104	118	51	22
ENSDARG00000002330	lhx8a	9	9	36	40	13	2	1	0.4				0.9	2	3	4	6	3	4
ENSDARG00000002332	frmd6	2	3	24	30	19	16	17	17	18	14	12	12	12	11	10	8	8	9
ENSDARG00000002333	fam102bb	4	10	26	23	6	1	0.6	3	7	5	7	9	8	11	8	10	16	17
ENSDARG00000002336	dlc		0.2		0.5	0.5	53	74	81	89	65	42	32	36	59	27	18	17	18
ENSDARG00000002339	sgf29	9	16	71	72	30	26	26	34	27	23	20	19	19	16	16	10	14	13
ENSDARG00000002344	tubb4b	1169	698	627	636	665	373	514	620	1059	1095	1257	1182	1194	1481	1202	1065	758	640
ENSDARG00000002347	cyp11a1	132	283	117	132	136	71	63	49	20	5	5	9	1				0.4	
ENSDARG00000002353	tagapa				1	27	22	17	5	1	1	0.9	0.7	0.3	0.7	0.6	0.9	0.9	2
ENSDARG00000002355	shpk		2	5	5	3	2	3	3	2	1	1	1	0.6	1	1	2	3	1
ENSDARG00000002362	ubald1a	44	42	15	9	11	17	27	36	25	17	14	14	17	20	26	34	33	39
ENSDARG00000002365	cers5	236	225	89	84	53	35	28	30	33	29	36	38	38	23	25	26	25	23
ENSDARG00000002369	UBB	409	309	481	431	422	661	790	460	311	244	261	282	236	256	213	197	170	186
ENSDARG00000002377	mief2	69	59	110	102	61	23	21	24	12	8	12	13	13	12	12	10	12	10
ENSDARG00000002385	atm	2	2	9	10	2	0.5	0.7	2	4	4	5	5	4	4	3	2	3	3
ENSDARG00000002391	tlcd1													0.8	0.8	2	8	12	13
ENSDARG00000002394	ugt5d1																8	17	7
ENSDARG00000002396	cry-dash	23	42	149	137	81	19	20	23	18	31	38	22	9	12	7	12	13	19
ENSDARG00000002401	gale	11	16	110	121	122	86	43	26	28	31	47	59	46	36	29	23	24	8
ENSDARG00000002402	ercc3	4	7	31	33	27	34	31	33	29	23	26	28	22	22	20	16	17	13
ENSDARG00000002403	nusap1	76	71	258	225	89	163	272	219	146	131	132	127	121	111	83	32	30	23
ENSDARG00000002405	si:ch211-225b11.1			0.9	0.7	1	0.1	0.3	0.2	1	4	10	6	5	5	3	8	6	6
ENSDARG00000002406	zmynd10	0.5	1	7	6	3	2			1	2	3	2	2	3	1	1	1	0.7
ENSDARG00000002411	pde4cb								0.2	2	0.5	1	2	2	1	0.8	2	3	3
ENSDARG00000002445	prdm1a				0.2		6	27	84	52	31	34	26	14	10	19	9	8	8
ENSDARG00000002463	arhgef37	18	54	59	58	24	19	14	10	8	6	5	6	4	3	3	2	3	3
ENSDARG00000002467	rdh14b	16	28	71	72	61	15	11	20	22	21	20	14	9	10	10	15	16	16
ENSDARG00000002479	ercc6l	10	15	74	78	72	84	86	65	27	21	29	38	29	22	13	8	8	5
ENSDARG00000002483	wnt7ab									6	3	2	1	2	0.4	1	2	2	3
ENSDARG00000002487	noc3l	0.5	0.9	7	8	13	43	79	103	104	86	79	52	32	27	18	17	15	15
ENSDARG00000002494	itgb6	2	2	15	19	4	0.5			2	4	6	7	3	4	5	7	7	8
ENSDARG00000002506	C7H16orf87	133	167	98	67	52	111	117	103	44	54	59	55	53	55	48	40	38	29
ENSDARG00000002507	itga10					0.2	0.2	1	2	0.1	1	2	2	1	1	3	5	4	4
ENSDARG00000002508	ankrd33ab									0.8	0.6	0.6					2	0.8	1
ENSDARG00000002509	zgc:153911	2	3	5	9	21	31	11	3	0.7	1	0.3	2	2	0.5	0.5	2	2	2
ENSDARG00000002510	dmbx1b									3	3	5	3	2	2	3	2	2	2
ENSDARG00000002523	hsdl2	77	62	42	40	34	33	35	30	41	38	45	46	41	37	29	38	47	29
ENSDARG00000002533	adora2b					1				3	1	2	3	2	1	0.7	1	1	2
ENSDARG00000002536	tm9sf4	126	210	253	211	184	174	147	123	72	47	51	62	47	36	31	37	31	25
ENSDARG00000002538	smu1a	219	176	167	134	129	181	223	190	115	100	91	73	55	64	52	35	31	25
ENSDARG00000002546	rundc3ab	12	36	32	43	24	10	7	0.6	0.6	2	5	5	9	16	29	30	23	25
ENSDARG00000002549	eif3eb	10	7	19	23	20	9	8	1	3	4	5	6	6	5	4	5	5	6
ENSDARG00000002552	mapkapk2a	110	126	248	237	194	136	111	115	88	74	76	70	62	51	35	34	30	26
ENSDARG00000002564	syngr1a	2	4	3	2	3	1	0.5			1	5	14	22	27	27	44	45	47
ENSDARG00000002571	tmod2	3	7	24	28	18	14	8	9	10	5	10	13	15	11	11	13	15	12
ENSDARG00000002576	cabp5a									2	0.5	0.4					5	6	5
ENSDARG00000002582	tbx15	0.1	0.2	0.2	0.3	0.4	0.3	0.4	0.5	1	2	3	6	8	12	13	10	9	8
ENSDARG00000002587	dpysl3		0.1		0.4	0.7	1	0.8	1	8	18	31	31	56	117	147	110	93	80
ENSDARG00000002589	mylpfb	3	2	3	3	4	2	2	2	2	2	15	281	1377	2025	3809	4144	3242	2630
ENSDARG00000002591	ruvbl1	352	346	290	242	129	138	178	192	186	146	142	121	93	87	66	48	41	28
ENSDARG00000002593	slc45a2							0.4			0.4	8	31	37	40	58	38	32	36
ENSDARG00000002597	pabpc1l	92	247	194	124	103	46	11	3	1	0.6			0.3					
ENSDARG00000002600	pcsk1								0.3	0.3			0.1	0.6	1	2	10	17	16
ENSDARG00000002601	irx7				38	117	70	141	239	108	41	23	14	8	8	10	8	5	4
ENSDARG00000002607	unm_sa1614	0.2	0.1	0.5		0.1				0.2	0.2	0.4	1	2	4	6	5	5	7
