		Gene_ID	Gene_Name	zygote	cleavage_2-cell	blastula_128-cell	blastula_1k-cell	blastula_dome	gastrula_50%-epiboly	gastrula_shield	gastrula_75%-epiboly	segmentation_1-4_somites	segmentation_14-19_somites	segmentation_20-25_somites	pharyngula_prim-5	pharyngula_prim-15	pharyngula_prim-25	hatching_long-pec	larval_protruding_mouth	larval_day_4	larval_day_5
Antioxidants	prdx4	ENSDARG00000069013	prdx4	2	6	16	27	19	13	14	15	55	66	79	104	105	72	84	91	95	69
Antioxidants	prdx5	ENSDARG00000055064	prdx5		1	5	4	2	8	22	99	208	204	281	409	354	255	248	178	164	146
Antioxidants	prdx6																				
Antioxidants	prdx6	ENSDARG00000043511	prdx6	13	28	82	94	80	71	62	45	27	30	63	71	93	114	88	106	111	97
Antioxidants	sod1	ENSDARG00000043848	sod1	85	130	184	203	83	25	10	14	23	26	28	31	32	51	48	108	166	143
Antioxidants	sod2	ENSDARG00000042644	sod2	3	7	81	90	65	79	45	21	4	1	1	3	16	26	35	81	91	78
Antioxidants	sod3a	ENSDARG00000070168	sod3a							0.6	0.7	3	0.6	5	22	13	2	7	3	5	5
Antioxidants	sod3b	ENSDARG00000079183	sod3b																1	0.7	3
Antioxidants	txn																				
Antioxidants	txn	ENSDARG00000044125	txn						2	8	33	72	43	75	149	104	44	49	36	36	25
Antioxidants	txn2	ENSDARG00000034777	txn2	54	74	29	22	22	41	59	69	102	107	117	92	89	99	80	83	70	66
Antioxidants	txnl1	ENSDARG00000011921	txnl1	148	258	187	138	236	232	267	274	218	189	180	151	127	138	83	81	69	55
Antioxidants	txnl4a	ENSDARG00000036190	txnl4a	47	152	140	171	161	159	128	96	98	95	78	69	56	65	58	51	38	21
Antioxidants	txnl4b	ENSDARG00000058962	txnl4b	73	91	52	61	31	15	13	16	11	9	8	7	10	9	8	7	6	8
HLH-PAS	NPAS3																				
HLH-PAS	ahr1a	ENSDARG00000020046	ahr1a									0.5							0.6	0.7	0.9
HLH-PAS	ahr1b	ENSDARG00000023537	ahr1b											1	2	2	4	5	9	8	11
HLH-PAS	ahr2	ENSDARG00000021833	ahr2	3	5	12	12	10	4	1	2	1	2	4	10	13	14	18	29	32	28
HLH-PAS	ahrra	ENSDARG00000099702	ahrra				2	0.6											0.7	2	0.8
HLH-PAS	ahrrb																				
HLH-PAS	ahrrb																				
HLH-PAS	ahrrb	ENSDARG00000052618	ahrrb		0.5	2	2	0.8												0.4	
HLH-PAS	arnt																				
HLH-PAS	arnt	ENSDARG00000021855	arnt	11	20	25	28	23	12	7	8	6	4	6	6	6	6	5	8	10	11
HLH-PAS	arnt2	ENSDARG00000103697	arnt2	11	13	18	21	16	15	11	13	20	16	21	15	17	27	31	28	27	28
HLH-PAS	arntl1a	ENSDARG00000006791	arntl1a	264	222	179	151	40	8	6	9	14	13	14	13	13	17	18	23	22	20
HLH-PAS	arntl1b																				
HLH-PAS	arntl1b	ENSDARG00000035732	arntl1b	1	2	12	12	9	3	0.3	0.3	4	5	7	6	4	6	5	7	9	9
HLH-PAS	arntl2																				
HLH-PAS	arntl2																				
HLH-PAS	arntl2	ENSDARG00000041381	arntl2	42	61	87	83	26	12	9	13	10	5	9	9	7	7	9	7	7	6
HLH-PAS	clocka	ENSDARG00000011703	clocka	1	4	10	8	3	0.8	0.9	2	1	0.9	1	1	1	2	1	4	4	5
HLH-PAS	clockb	ENSDARG00000003631	clockb	19	40	66	54	13	7	9	13	11	8	10	7	7	8	7	17	22	20
HLH-PAS	hif1aa	ENSDARG00000006181	hif1aa	8	7	8	5	5	2	0.3	0.3				1	2	3	4	7	7	6
HLH-PAS	hif1ab	ENSDARG00000034293	hif1ab	14	28	157	154	165	160	137	106	111	97	90	88	82	91	88	84	91	83
HLH-PAS	hif1al	ENSDARG00000100826	hif1al	57	54	54	47	75	161	251	242	141	154	185	216	205	166	167	164	129	96
HLH-PAS	hif1al2	ENSDARG00000044550	hif1al2			0.3	0.6								0.7	2	2	5	3	3	3
HLH-PAS	hif1an	ENSDARG00000031915	hif1an	54	128	206	134	140	31	22	23	28	20	22	22	29	22	30	20	16	14
HLH-PAS	ncoa1	ENSDARG00000018257	ncoa1		0.6	5	4	3	2	2	4	6	4	5	7	7	7	6	7	10	11
HLH-PAS	ncoa2	ENSDARG00000017929	ncoa2	11	16	49	46	46	20	12	28	39	34	36	31	27	31	23	25	22	23
HLH-PAS	ncoa3	ENSDARG00000077404	ncoa3	10	18	38	39	23	27	23	23	26	19	22	24	22	22	18	20	19	21
HLH-PAS	ncoa4	ENSDARG00000021439	ncoa4	208	285	204	169	120	74	60	58	55	48	58	66	73	73	89	58	55	50
HLH-PAS	ncoa5	ENSDARG00000016345	ncoa5	106	103	129	112	160	260	379	362	253	212	183	142	106	142	104	73	68	64
HLH-PAS	ncoa6	ENSDARG00000071272	ncoa6	32	53	88	63	40	24	27	34	33	25	28	26	25	27	26	17	21	21
HLH-PAS	npas1	ENSDARG00000015876	npas1											1	4	9	11	8	5	4	3
HLH-PAS	npas2																				
HLH-PAS	npas2	ENSDARG00000016536	npas2			0.4	0.5	0.2	0.1	0.2	0.4	2	0.4	1	2	1	1	0.9	5	6	7
HLH-PAS	npas4a	ENSDARG00000055752	npas4a															0.7	7	31	58
HLH-PAS	npas4l																				
HLH-PAS	per1a	ENSDARG00000056885	per1a			0.1						0.5	0.2	0.2	0.2	0.1	0.4	0.5	8	11	12
HLH-PAS	per1b	ENSDARG00000012499	per1b	2	2	11	9	8	3	0.5		32	30	26	29	14	30	13	43	36	39
HLH-PAS	per2	ENSDARG00000034503	per2	28	19	51	35	16	10	8	4	8	14	18	9	4	9	3	21	4	5
HLH-PAS	per3	ENSDARG00000010519	per3	0.9	3	11	12	12	6	3	2	11	10	14	9	6	12	6	13	19	29
HLH-PAS	sim1a	ENSDARG00000023316	sim1a			0.6						1	0.5	1	2	2	3	2	1	1	0.8
HLH-PAS	sim1b	ENSDARG00000013789	sim1b	0.2	0.2	1	2	2		0.2			0.6	2	1	2	4	3	4	3	2
Heat_response	CLPB	ENSDARG00000088463	CLPB	11	10	16	10	7	5	3		0.8		0.9	2	1	2	3	5	9	10
Heat_response	clpb	ENSDARG00000090232	clpb	32	23	26	24	21	8	5	3	3	3	3	5	5	6	9	15	20	22
Heat_response	clpxa	ENSDARG00000029063	clpxa	45	50	79	81	81	55	35	19	25	26	28	29	23	28	28	46	55	55
Heat_response	clpxb	ENSDARG00000067796	clpxb	0.9	3	12	13	9	6	4	2	10	6	13	17	17	17	16	22	24	28
Heat_response	cryaa																				
Heat_response	cryaa	ENSDARG00000053502	cryaa												1	7	18	79	61	72	116
Heat_response	cryaba																				
Heat_response	cryabb																				
Heat_response	cryabb	ENSDARG00000101380	cryabb									0.3					0.1		0.3	0.4	0.9
Heat_response	dnaja1	ENSDARG00000030972	dnaja1	5	15	52	47	49	69	77	98	46	32	32	16	17	30	26	16	19	12
Heat_response	dnaja2a	ENSDARG00000104066	dnaja2a	76	97	529	547	594	601	527	462	469	359	326	285	199	208	151	149	129	113
Heat_response	dnaja2b	ENSDARG00000010745	dnaja2b	11	39	82	85	96	115	110	105	191	144	167	134	123	170	146	108	101	94
Heat_response	dnaja3a																				
Heat_response	dnaja3a	ENSDARG00000058494	dnaja3a	19	31	116	143	56	12	10	20	29	25	27	16	14	22	16	21	25	31
Heat_response	dnaja3b	ENSDARG00000102295	dnaja3b	28	28	29	32	20	4	1	0.8	4	6	7	6	4	7	5	9	9	8
Heat_response	dnajb11	ENSDARG00000015088	dnajb11	72	117	229	225	125	44	44	59	68	65	78	72	61	62	55	63	43	23
Heat_response	dnajb12a	ENSDARG00000039363	dnajb12a	107	143	158	185	120	62	33	31	44	38	38	30	29	31	26	27	25	20
Heat_response	dnajb12b	ENSDARG00000087473	dnajb12b	76	75	47	31	21	12	8	9	10	8	8	9	8	9	9	15	13	10
Heat_response	dnajb13	ENSDARG00000043157	dnajb13									1	2	2	1	1	0.9	0.9		1	0.6
Heat_response	dnajb14	ENSDARG00000069996	dnajb14					0.6	3	7	8	4	5	5	5	4	5	6	6	7	9
Heat_response	dnajb1a	ENSDARG00000099383	dnajb1a	21	32	46	43	10	6	6	12	13	11	12	9	12	13	13	13	11	11
Heat_response	dnajb1b	ENSDARG00000041394	dnajb1b	191	211	354	348	410	337	289	187	71	50	51	27	28	29	24	13	14	11
Heat_response	dnajb2	ENSDARG00000058644	dnajb2	6	8	5	5	4	2	1	2	3	6	7	5	4	6	5	4	5	5
Heat_response	dnajb4	ENSDARG00000038978	dnajb4									0.8	1	2	3	3	4	8	13	13	12
Heat_response	dnajb5																				
Heat_response	dnajb5	ENSDARG00000052881	dnajb5						0.7	0.6	2	0.8	0.6	4	6	3	3	4	5	4	3
Heat_response	dnajb6a	ENSDARG00000004680	dnajb6a	257	256	212	210	188	157	121	52	47	42	53	52	51	57	58	75	64	55
Heat_response	dnajb6b																				
Heat_response	dnajb6b	ENSDARG00000020953	dnajb6b	17	24	40	28	17	14	11	9	7	5	8	6	8	10	12	14	13	8
Heat_response	dnajb9a	ENSDARG00000052072	dnajb9a	1	7	15	17	3	3	4	5	4	3	4	4	5	6	8	6	9	8
Heat_response	dnajb9b	ENSDARG00000016886	dnajb9b	2	3	10	7	3	3	13	26	6	2	6	7	5	3	5	6	7	4
Heat_response	dnajc1	ENSDARG00000001940	dnajc1	163	352	485	515	511	215	119	97	93	75	70	51	38	35	36	32	37	31
Heat_response	dnajc10	ENSDARG00000074727	dnajc10	12	17	47	43	33	24	29	39	53	34	31	28	21	20	16	16	15	10
Heat_response	dnajc11a																				
Heat_response	dnajc11a	ENSDARG00000011196	dnajc11a	41	70	108	107	110	78	59	49	83	72	72	59	43	48	33	31	28	18
Heat_response	dnajc11b	ENSDARG00000102696	dnajc11b	0.4	1	0.4	0.8	1			0.3	1	0.9	2	2	2	4	4	7	5	4
Heat_response	dnajc12	ENSDARG00000086691	dnajc12	2	2	1	1					3	4	3	2	4	3	4	7	9	9
Heat_response	dnajc14	ENSDARG00000105398	dnajc14	1	2	29	27	18	13	11	10	6	5	4	3	3	3	3	2	2	2
Heat_response	dnajc15	ENSDARG00000038309	dnajc15	2	17	39	38	39	22	8	4	8	10	15	16	15	13	13	18	16	12
Heat_response	dnajc16	ENSDARG00000059699	dnajc16		0.3	1	1					2	2	2	0.9	0.4	2	1	3	3	3
Heat_response	dnajc16l	ENSDARG00000060725	dnajc16l	28	29	15	17	9	4	6	7	11	11	11	9	8	9	9	13	11	11
Heat_response	dnajc17	ENSDARG00000104959	dnajc17	34	43	32	21	29	26	29	12	12	8	10	7	6	6	5	5	4	5
Heat_response	dnajc18	ENSDARG00000056005	dnajc18	91	139	119	119	42	10	8	10	16	14	17	16	20	22	20	26	24	23
Heat_response	dnajc19	ENSDARG00000044420	dnajc19				5	5	5	6	7	21	27	30	37	32	37	32	37	36	33
Heat_response	dnajc2	ENSDARG00000070477	dnajc2	73	70	44	38	20	17	23	30	32	27	24	19	12	13	8	8	5	4
Heat_response	dnajc21	ENSDARG00000105195	dnajc21	2	11	47	42	39	19	15	17	24	22	20	12	7	9	5	5	4	2
Heat_response	dnajc22	ENSDARG00000037067	dnajc22																4	10	7
Heat_response	dnajc24	ENSDARG00000023927	dnajc24	2	5	19	24	8	2	2	2	3	6	5	2	2	3	3	2	3	3
Heat_response	dnajc25																				
Heat_response	dnajc25	ENSDARG00000067613	dnajc25	9	11	73	102	78	43	31	35	32	18	22	12	12	13	9	10	10	6
Heat_response	dnajc27	ENSDARG00000070916	dnajc27	3	7	9	11	6	5	4	5	5	4	5	4	4	5	5	8	8	9
Heat_response	dnajc28																				
Heat_response	dnajc28	ENSDARG00000018181	dnajc28	10	11	14	8	4	0.8	1	3	4	6	6	6	4	4	6	7	9	7
Heat_response	dnajc30b	ENSDARG00000079415	dnajc30b	0.4	0.5	7	8	6	6	5	8	6	9	8	4	5	7	6	6	4	4
Heat_response	dnajc3a																				
Heat_response	dnajc3a	ENSDARG00000041110	dnajc3a	29	5	24	21	9	1	4	11	13	17	20	18	15	14	16	22	20	11
Heat_response	dnajc3b	ENSDARG00000017874	dnajc3b	1	3	10	10	10	4	5	8	15	16	22	24	27	26	19	22	18	10
Heat_response	dnajc4	ENSDARG00000024090	dnajc4	4	9	6	5	5	4	4	2	4	6	6	4	6	8	7	9	10	12
Heat_response	dnajc5																				
Heat_response	dnajc5aa	ENSDARG00000042948	dnajc5aa	137	122	86	81	93	76	56	29	19	18	26	18	24	39	44	92	77	71
Heat_response	dnajc5ab	ENSDARG00000004836	dnajc5ab	21	29	52	46	32	21	9	8	13	9	15	19	23	23	25	43	43	40
Heat_response	dnajc5b	ENSDARG00000058147	dnajc5b															1	2	2	1
Heat_response	dnajc5ga	ENSDARG00000041896	dnajc5ga	283	383	291	237	47	9	6	8	20	30	39	32	25	33	28	31	24	19
Heat_response	dnajc5gb																				
Heat_response	dnajc5gb	ENSDARG00000017687	dnajc5gb	3	5	5	5	3	3	3	8	6	6	7	10	11	9	10	15	16	13
Heat_response	dnajc6	ENSDARG00000079891	dnajc6	2	3	12	16	16	6	2	0.6	0.6	0.6	2	2	4	7	11	23	20	20
Heat_response	dnajc7	ENSDARG00000058148	dnajc7	28	40	125	138	118	88	53	48	67	66	70	61	51	58	51	53	48	42
Heat_response	dnajc8	ENSDARG00000059373	dnajc8	75	125	151	163	204	199	193	205	150	145	125	122	108	98	88	77	65	55
Heat_response	dnajc9																				
Heat_response	dnajc9	ENSDARG00000031293	dnajc9	198	178	68	44	22	38	49	55	85	93	86	71	63	60	37	26	29	19
Heat_response	hsbp1a	ENSDARG00000069425	hsbp1a	0.9	3	2	4	3	4	2	3	11	19	26	29	31	37	57	85	65	71
Heat_response	hsbp1b	ENSDARG00000041921	hsbp1b	58	92	48	49	55	87	48	63	74	101	95	100	90	97	86	100	76	59
Heat_response	hsbp1l1	ENSDARG00000075984	hsbp1l1	136	126	55	47	23	12	2				1	3	2	3	4	5	4	3
Heat_response	hsf1	ENSDARG00000008818	hsf1	15	17	43	44	45	44	41	41	22	15	17	10	10	14	9	8	10	10
Heat_response	hsf2	ENSDARG00000053097	hsf2	2	8	117	133	92	78	93	54	52	59	47	42	22	31	21	30	25	37
Heat_response	hsf2bp	ENSDARG00000035080	hsf2bp	0.4	0.6	2	2	2	0.8	0.3											
Heat_response	hsf4	ENSDARG00000013251	hsf4														0.6	4	5	3	3
Heat_response	hsf5	ENSDARG00000104686	hsf5			0.5	0.4	0.5	0.5												
Heat_response	hsp70.1	ENSDARG00000029688	hsp70.1			0.7	1	0.8						0.7		0.4	2	2	2	2	1
Heat_response	hsp70.2	ENSDARG00000092362	hsp70.2				0.4	2	0.7	0.7	0.9	0.8	1	5	2	2	9	10	5	5	4
Heat_response	hsp70.3	ENSDARG00000021924	hsp70.3	3	5	2	5	5	4	11	6	2	3	12	7	7	16	12	5	6	3
Heat_response	hsp70l	ENSDARG00000055723	hsp70l					0.8	0.9	1	1	1	1	4	3	0.7	2	10	7	10	7
Heat_response	hsp90aa1.1	ENSDARG00000010478	hsp90aa1.1	0.6	0.3	0.3	0.4	0.3	0.4	1	0.3	69	160	337	407	154	80	44	29	29	20
Heat_response	hsp90aa1.2	ENSDARG00000024746	hsp90aa1.2	2	1	1	1	3	6	39	32	11	8	24	22	23	19	23	36	26	21
Heat_response	hsp90ab1	ENSDARG00000029150	hsp90ab1	338	563	1097	968	1206	1383	2125	2360	2766	3099	2963	2837	2626	2565	2074	1551	1742	2034
Heat_response	hsp90b1																				
Heat_response	hsp90b1	ENSDARG00000003570	hsp90b1	24	55	186	203	147	68	38	35	16	20	33	79	107	102	129	142	104	48
Heat_response	hspa12a	ENSDARG00000070603	hspa12a	23	32	32	34	31	21	10	10	5	2	2	1	2	2	2	3	5	3
Heat_response	hspa12b	ENSDARG00000030307	hspa12b									0.2	0.6	2	2	2	2	3	5	6	4
Heat_response	hspa13	ENSDARG00000040984	hspa13		0.3	1	2	1	0.4	5	7	7	8	8	12	10	8	8	10	9	7
Heat_response	hspa14																				
Heat_response	hspa14																				
Heat_response	hspa14	ENSDARG00000058030	hspa14	12	17	102	107	110	122	138	110	137	103	95	70	43	42	29	29	22	19
Heat_response	hspa4a	ENSDARG00000004754	hspa4a	24	21	45	33	18	21	27	33	36	36	42	38	30	38	24	27	18	11
Heat_response	hspa4b																				
Heat_response	hspa4b																				
Heat_response	hspa4b	ENSDARG00000018989	hspa4b	4	9	82	84	72	87	106	116	216	191	198	168	142	152	107	90	83	73
Heat_response	hspa4l	ENSDARG00000053544	hspa4l					2	0.7	0.9	0.7	1	3	5	7	7	9	12	27	24	22
Heat_response	hspa5	ENSDARG00000103846	hspa5	83	94	806	831	392	114	102	138	142	184	210	238	182	170	221	206	173	73
Heat_response	hspa8																				
Heat_response	hspa8	ENSDARG00000068992	hspa8	1621	2544	2216	2332	3610	4474	4478	3988	3761	4110	4349	4567	4066	3237	3196	3097	3302	3530
Heat_response	hspa9																				
Heat_response	hspa9	ENSDARG00000003035	hspa9	26	36	180	196	157	174	162	146	125	99	144	137	95	88	69	94	82	63
Heat_response	hspb1	ENSDARG00000041065	hspb1	0.4	21	6	7	636	2589	3766	4498	1620	322	188	272	170	71	49	36	34	22
Heat_response	hspb11	ENSDARG00000002204	hspb11										2	15	22	20	9	24	36	38	37
Heat_response	hspb15	ENSDARG00000078411	hspb15											0.5			0.6	1	13	12	11
Heat_response	hspb2																				
Heat_response	hspb2	ENSDARG00000052450	hspb2													12	17	17	16	14	11
Heat_response	hspb3																				
Heat_response	hspb3	ENSDARG00000067714	hspb3													2	15	14	16	14	7
Heat_response	hspb6	ENSDARG00000077236	hspb6					0.9	0.4					0.4	3	2	4	8	34	20	12
Heat_response	hspb7	ENSDARG00000104441	hspb7									0.7	2	17	27	18	9	10	26	21	15
Heat_response	hspb8																				
Heat_response	hspb8	ENSDARG00000058365	hspb8						0.2		1	15	20	48	81	62	42	26	23	20	14
Heat_response	hspb9	ENSDARG00000078674	hspb9									2	1	17	26	113	64	82	60	27	25
Heat_response	hspd1	ENSDARG00000056160	hspd1	78	88	194	205	218	190	204	190	118	129	215	241	146	128	89	147	91	52
Heat_response	hspe1	ENSDARG00000056167	hspe1	13	11	4	4	5	11	29	53	41	46	70	85	57	47	43	52	38	25
Heat_response	hspg2	ENSDARG00000076564	hspg2	0.8	1	3	2	1	2	2	2	8	5	8	13	13	11	10	12	17	16
Heat_response	hsph1	ENSDARG00000019874	hsph1	1	1	2	1	2	2	2	2	2	2	2	1	1	2	2	2	2	2
Heat_response	serpinh1b	ENSDARG00000019949	serpinh1b		0.2			3	28	82	164	194	182	141	78	78	59	67	29	25	10
Ion_transporters	SLC22A7	ENSDARG00000056652	zmp:0000001102																1	0.9	0.8
Ion_transporters	SLC39A11	ENSDARG00000098194	SLC39A11	76	73	13	12	9	5	1	1	14	14	17	21	18	12	11	8	11	7
Ion_transporters	SLCO3A1	ENSDARG00000068296	SLCO3A1						0.1	0.1		0.1	0.3	0.5	0.5	2	2	3	5	5	6
Ion_transporters	slc22a13a	ENSDARG00000056551	slc22a13a				0.4					0.5		0.4							
Ion_transporters	slc22a13b	ENSDARG00000059166	slc22a13b				0.5											0.8	1	1	3
Ion_transporters	slc22a15	ENSDARG00000055445	slc22a15	0.3	0.6	3	2	2	2	2	4	9	8	8	6	7	8	8	9	8	8
Ion_transporters	slc22a16	ENSDARG00000015869	slc22a16		0.4	0.4			6	6	2	1	2	3	9	10	13	8	9	9	7
Ion_transporters	slc22a18	ENSDARG00000052271	slc22a18						0.4	0.4	2	7	7	10	9	9	8	10	25	52	32
Ion_transporters	slc22a2	ENSDARG00000030530	slc22a2						3	7	11	2	2	2	3	3	6	7	9	20	33
Ion_transporters	slc22a21	ENSDARG00000094112	slc22a21												0.3				2	0.9	2
Ion_transporters	slc22a23	ENSDARG00000078856	slc22a23	2	5	19	16	13	6	2	3	5	2	4	10	7	3	6	9	9	10
Ion_transporters	slc22a31	ENSDARG00000078882	slc22a31	36	18	42	34	38	27	27	13	31	28	28	23	18	11	13	15	10	9
Ion_transporters	slc22a4	ENSDARG00000005335	slc22a4																	3	3
Ion_transporters	slc22a5	ENSDARG00000101021	slc22a5					2	71	144	194	18	2	1	0.5	0.1		0.2	7	5	3
Ion_transporters	slc22a6l	ENSDARG00000055523	slc22a6l											1	9	11	3	10	21	18	13
Ion_transporters	slc22a7a	ENSDARG00000056028	slc22a7a												12	39	46	52	25	14	10
Ion_transporters	slc22a7b.1																				
Ion_transporters	slc22a7b.1	ENSDARG00000056643	slc22a7b.1											0.9	1	0.4			1	5	3
Ion_transporters	slc22a7b.2	ENSDARG00000091252	slc22a7b.2											0.2					2	1	1
